,都道府県,総人口,医師数,薬剤師数,一般病院数,一般診療所数,病院在院患者数,病院病床数,診療所在院患者数,診療所病床数,１日平均外来患者数合計,年間外来患者数,在院患者総数,病床総数,一般病院数_人口10万人あたり,医師数_人口10万人あたり,薬剤師数_人口10万人あたり,一般診療所数_人口10万人あたり,病院患者数_人口10万人あたり,病院病床数_人口10万人あたり,診療所患者数_人口10万人あたり,診療所病床数_人口10万人あたり,患者総数_人口10万人あたり,病床総数_人口10万人あたり,１日平均外来患者数合計_人口10万人あたり,効率値-in,効率値-out
0,北海道,5140000,13731,11802,471,3400,5646066,218636,23150,2092.0,794145,24222504,5669216,220728.0,9.163424124513618,267.14007782101163,229.61089494163423,66.14785992217898,109845.6420233463,4253.618677042802,450.3891050583657,40.70038910505836,110296.03112840468,4294.31906614786,15450.291828793775,1.0,1.0
1,青森県,1204000,2773,2345,76,870,710921,27711,5408,279.0,151232,4613079,716329,27990.0,6.312292358803987,230.3156146179402,194.7674418604651,72.25913621262458,59046.59468438538,2301.578073089701,449.1694352159468,23.172757475083056,59495.76411960132,2324.750830564784,12560.797342192693,1.0,1.0
2,岩手県,1181000,2700,2536,77,888,559454,23310,195,321.0,132174,4031662,559649,23631.0,6.5198983911939035,228.6198137171888,214.7332768839966,75.19051651143099,47371.21083827265,1973.7510584250633,16.51143099068586,27.18035563082134,47387.72226926334,2000.931414055885,11191.701947502117,0.961478,1.115343
3,宮城県,2280000,5950,5502,109,1713,957801,37429,8968,594.0,231114,7049245,966769,38023.0,4.780701754385965,260.96491228070175,241.31578947368422,75.13157894736842,42008.81578947369,1641.622807017544,393.3333333333333,26.05263157894737,42402.14912280702,1667.6754385964912,10136.578947368422,1.0,1.0
4,秋田県,930000,2444,2066,50,822,539703,20820,6873,279.0,124799,3806876,546576,21099.0,5.376344086021505,262.7956989247312,222.1505376344086,88.38709677419355,58032.58064516129,2238.7096774193546,739.0322580645162,29.999999999999996,58771.61290322581,2268.709677419355,13419.247311827956,0.984062,1.024219
5,山形県,1041000,2608,2129,53,913,661688,24564,5768,189.0,128637,3923901,667456,24753.0,5.091258405379443,250.5283381364073,204.51488952929876,87.70413064361192,63562.72814601345,2359.6541786743514,554.0826128722382,18.155619596541786,64116.81075888569,2377.809798270893,12357.060518731989,1.0,1.0
6,福島県,1790000,3958,3792,101,1372,871459,34954,0,243.0,211676,6456214,871459,35197.0,5.64245810055866,221.11731843575416,211.84357541899442,76.64804469273743,48684.86033519553,1952.7374301675975,0.0,13.575418994413408,48684.86033519553,1966.3128491620112,11825.474860335196,0.994886,1.008695
7,茨城県,2840000,5838,6704,152,1780,1468991,61407,9552,466.0,327753,9996886,1478543,61873.0,5.352112676056338,205.56338028169014,236.05633802816902,62.676056338028175,51725.0352112676,2162.218309859155,336.3380281690141,16.408450704225352,52061.373239436616,2178.6267605633802,11540.598591549297,1.0,1.0
8,栃木県,1909000,4773,4350,89,1480,1121852,44258,4029,288.0,226905,6920315,1125881,44546.0,4.66212676794133,250.02619172341537,227.8679937139864,77.52750130958617,58766.47459402828,2318.3865898376116,211.05290728129913,15.086432687270822,58977.52750130959,2333.4730225248823,11886.066003143007,0.972334,1.050543
9,群馬県,1913000,4735,4130,115,1587,1185730,46166,2928,72.0,218974,6678621,1188658,46238.0,6.0115002613695765,247.51698902247776,215.8912702561422,82.95870360690016,61982.74960794563,2413.2775744903292,153.05802404600107,3.7637219027705173,62135.807631991636,2417.0412963931,11446.628332462102,0.916465,1.203897
10,埼玉県,7337000,13604,16370,297,4470,3486535,131582,8964,261.0,717249,21876719,3495499,131843.0,4.047976011994003,185.41638271773203,223.1157148698378,60.92408341283903,47519.89914133842,1793.4032983508246,122.17527599836446,3.5573122529644268,47642.074417336786,1796.9606106037888,9775.780291672345,1.0,1.0
11,千葉県,6266000,13396,14823,255,3838,3434997,131836,2639,252.0,678749,20702148,3437636,132088.0,4.069581870411747,213.7887009256304,236.56240025534632,61.25119693584424,54819.613788700924,2103.989786147463,42.11618257261411,4.021704436642196,54861.72997127354,2108.0114905841046,10832.253431216086,1.0,1.0
12,東京都,14038000,48072,52842,587,14327,6846706,258035,24074,981.0,1481334,45179735,6870780,259016.0,4.181507337227526,342.44194329676594,376.42114261290783,102.05869782020231,48772.65992306596,1838.117965522154,171.49166547941303,6.988174953697108,48944.15158854538,1845.1061404758514,10552.315144607493,0.925427,1.096469
13,神奈川県,9232000,21377,23872,290,6996,4079273,154375,27613,1098.0,819097,24982538,4106886,155473.0,3.1412478336221836,231.55329289428076,258.578856152513,75.77989601386483,44186.23266897747,1672.1728769497402,299.1009532062392,11.893414211438476,44485.33362218371,1684.0662911611785,8872.367850953206,1.0,1.0
14,新潟県,2153000,4803,4514,104,1679,954263,36270,11540,342.0,251814,7680968,965803,36612.0,4.830469112865768,223.08406874129122,209.66093822573154,77.9842080817464,44322.48026010218,1684.6261031119368,535.9962842545285,15.884811890385508,44858.476544356716,1700.5109150023225,11695.959126799813,1.0,1.0
15,富山県,1017000,2832,2855,87,763,1168907,42351,0,0.0,154195,4703156,1168907,42351.0,8.55457227138643,278.46607669616515,280.72763028515243,75.02458210422812,114936.77482792528,4164.306784660767,0.0,0.0,114936.77482792528,4164.306784660767,15161.750245821044,0.948883,1.050755
16,石川県,1118000,3486,2829,78,884,893746,35454,2500,144.0,158031,4820624,896246,35598.0,6.976744186046512,311.8067978533095,253.04114490161,79.06976744186046,79941.50268336316,3171.198568872988,223.61359570661895,12.880143112701251,80165.11627906977,3184.078711985689,14135.15205724508,0.91298,1.083717
17,福井県,753000,2074,1489,57,578,509232,19510,4685,216.0,118402,3611258,513917,19726.0,7.569721115537849,275.43160690571045,197.74236387782202,76.75962815405046,67627.09163346615,2590.9694555112883,622.1779548472775,28.685258964143426,68249.26958831341,2619.654714475432,15724.037184594952,1.0,1.0
18,山梨県,802000,2101,1852,52,750,603489,23020,3303,162.0,104998,3202633,606792,23182.0,6.483790523690773,261.9700748129676,230.9226932668329,93.51620947630923,75248.00498753117,2870.3241895261845,411.8453865336658,20.199501246882793,75659.85037406484,2890.5236907730673,13092.01995012469,0.90659,1.124175
19,長野県,2020000,5217,4603,111,1605,897540,34578,7098,369.0,287468,8768131,904638,34947.0,5.4950495049504955,258.26732673267327,227.87128712871288,79.45544554455445,44432.67326732673,1711.7821782178216,351.38613861386136,18.26732673267327,44784.0594059406,1730.049504950495,14231.089108910892,1.0,1.0
20,岐阜県,1946000,4580,4060,85,1630,697513,31221,25384,1308.0,217598,6636543,722897,32529.0,4.367934224049332,235.3545734840699,208.63309352517987,83.76156217882836,35843.4224049332,1604.3679342240493,1304.4193216855087,67.2147995889003,37147.84172661871,1671.5827338129495,11181.808838643372,1.0,1.0
21,静岡県,3582000,8271,8485,139,2750,2648125,101294,243,224.0,355264,10835724,2648368,101518.0,3.8805136795086543,230.90452261306532,236.8788386376326,76.77275265214963,73928.671133445,2827.8615298715804,6.78391959798995,6.253489670575098,73935.455053043,2834.115019542155,9918.034617532105,0.961925,1.100576
22,愛知県,7495000,17842,16003,283,5556,3957206,151678,34276,1281.0,754594,23016290,3991482,152959.0,3.7758505670446962,238.0520346897932,213.5156771180787,74.12941961307538,52797.94529686458,2023.7224816544363,457.31821214142764,17.091394262841895,53255.263509006,2040.8138759172782,10067.965310206804,1.0,1.0
23,三重県,1742000,4298,3550,82,1530,1070107,41406,17665,786.0,181610,5539050,1087772,42192.0,4.70723306544202,246.72789896670494,203.78874856486797,87.8300803673938,61429.79334098737,2376.9230769230767,1014.0642939150401,45.120551090700346,62443.85763490241,2422.0436280137774,10425.373134328358,0.959702,1.114853
24,滋賀県,1409000,3496,3352,51,1132,758593,29432,0,17.0,153448,4680154,758593,29449.0,3.6195883605393897,248.11923349893542,237.89921930447125,80.34066713981548,53839.10574875799,2088.8573456352024,0.0,1.20652945351313,53839.10574875799,2090.0638750887156,10890.56068133428,1.0,1.0
25,京都府,2550000,9156,6828,151,2482,1065479,39884,7083,225.0,327755,9996665,1072562,40109.0,5.921568627450981,359.05882352941177,267.7647058823529,97.33333333333333,41783.490196078434,1564.0784313725492,277.7647058823529,8.823529411764707,42061.25490196078,1572.9019607843138,12853.137254901962,1.0,1.0
26,大阪府,8782000,26431,27297,470,8680,6315160,236565,1179,156.0,969267,29561929,6316339,236721.0,5.351856069232521,300.96788886358456,310.8289683443407,98.83853336369849,71910.2710088818,2693.748576634024,13.425187884308814,1.776360737872922,71923.6961967661,2695.524937371897,11036.973354588932,0.754147,1.266293
27,兵庫県,5402000,15133,15663,314,5192,3919330,148182,4646,385.0,600176,18305390,3923976,148567.0,5.812661977045539,280.13698630136986,289.9481673454276,96.11255090707145,72553.31358756016,2743.095149944465,86.00518326545723,7.126990003702333,72639.31877082562,2750.2221399481673,11110.255460940392,0.763407,1.303569
28,奈良県,1306000,3810,3287,71,1223,791440,30912,3263,162.0,172561,5263296,794703,31074.0,5.436447166921899,291.73047473200614,251.68453292496173,93.64471669218989,60600.30627871364,2366.9218989280243,249.8468606431853,12.404287901990813,60850.15313935681,2379.3261868300156,13212.940275650843,0.91144,1.069157
29,和歌山県,903000,2941,2400,75,1021,535916,22902,14230,684.0,128286,3912679,550146,23586.0,8.305647840531561,325.6921373200443,265.78073089700996,113.06755260243632,59348.3942414175,2536.2126245847176,1575.858250276855,75.74750830564784,60924.25249169435,2611.9601328903655,14206.644518272427,0.79541,1.144408
30,鳥取県,544000,1871,1229,39,491,467714,19480,0,90.0,72146,2200504,467714,19570.0,7.169117647058824,343.93382352941177,225.91911764705884,90.25735294117646,85976.83823529411,3580.8823529411766,0.0,16.544117647058822,85976.83823529411,3597.426470588235,13262.132352941178,0.844013,1.168194
31,島根県,658000,2108,1429,38,709,519498,20050,693,54.0,82239,2508410,520191,20104.0,5.775075987841945,320.3647416413374,217.17325227963528,107.75075987841944,78951.06382978724,3047.112462006079,105.31914893617022,8.206686930091186,79056.3829787234,3055.31914893617,12498.328267477204,0.914232,1.129821
32,岡山県,1862000,6290,4281,143,1636,1139094,44605,32633,1804.0,280495,8555434,1171727,46409.0,7.679914070891515,337.8088077336198,229.9140708915145,87.86251342642319,61175.83243823845,2395.5424274973147,1752.5778732545652,96.88506981740063,62928.41031149302,2492.4274973147153,15064.178302900107,0.909672,1.04486
33,広島県,2760000,7805,7332,204,2534,2219895,86671,40590,2157.0,329900,10061444,2260485,88828.0,7.391304347826086,282.78985507246375,265.65217391304344,91.81159420289855,80430.97826086957,3140.2536231884055,1470.6521739130435,78.15217391304348,81901.63043478261,3218.4057971014495,11952.898550724638,0.775633,1.310483
34,山口県,1313000,3682,3498,114,1249,2193173,84007,9853,486.0,164645,5021752,2203026,84493.0,8.682406702208683,280.4265041888804,266.41279512566643,95.12566641279513,167035.26275704495,6398.095963442497,750.4188880426505,37.01447067783701,167785.68164508758,6435.1104341203345,12539.60396039604,0.803577,1.278386
35,徳島県,704000,2567,2619,91,701,980358,38078,16468,597.0,124274,3790302,996826,38675.0,12.926136363636362,364.6306818181818,372.0170454545455,99.57386363636364,139255.39772727274,5408.806818181818,2339.2045454545455,84.80113636363636,141594.60227272726,5493.607954545455,17652.55681818182,0.898792,1.025001
36,香川県,934000,2886,2510,78,850,519612,24093,16880,1270.0,154075,4699417,536492,25363.0,8.351177730192719,308.99357601713064,268.7366167023555,91.00642398286938,55632.97644539614,2579.5503211991436,1807.2805139186296,135.97430406852249,57440.25695931477,2715.5246252676657,16496.25267665953,1.0,1.0
37,愛媛県,1306000,3847,3024,121,1207,1226289,50587,16304,612.0,202745,6183624,1242593,51199.0,9.264931087289433,294.56355283307806,231.5467075038285,92.41960183767229,93896.55436447167,3873.430321592649,1248.3920367534456,46.86064318529862,95144.94640122511,3920.290964777948,15524.119448698315,0.918118,1.064538
38,高知県,676000,2305,1787,111,532,1333900,51930,127,0.0,130822,3990126,1334027,51930.0,16.420118343195266,340.97633136094674,264.3491124260355,78.69822485207101,197322.48520710057,7681.952662721893,18.786982248520708,0.0,197341.2721893491,7681.952662721893,19352.366863905325,1.0,1.0
39,福岡県,5116000,16784,12714,391,4780,5090194,199933,42400,4138.0,612838,18690485,5132594,204071.0,7.642689601250977,328.068803752932,248.51446442533228,93.43236903831118,99495.58248631743,3907.9945269741984,828.7724784988272,80.8835027365129,100324.35496481626,3988.8780297107114,11978.850664581703,0.748358,1.328062
40,佐賀県,801000,2445,1952,83,703,1155868,43772,18388,1941.0,110528,3371026,1174256,45713.0,10.362047440699126,305.2434456928839,243.69538077403246,87.76529338327092,144303.1210986267,5464.669163545568,2295.6304619225966,242.32209737827716,146598.7515605493,5706.991260923845,13798.751560549314,0.819721,1.233253
41,長崎県,1283000,4399,2954,121,1348,1779258,67830,18124,1326.0,174747,5329376,1797382,69156.0,9.431021044427125,342.86827747466873,230.24162120031176,105.06625097427903,138679.50116913483,5286.827747466875,1412.626656274357,103.35151987529228,140092.1278254092,5390.179267342167,13620.187061574436,0.797368,1.219911
42,熊本県,1718000,5415,4036,168,1476,2032091,81077,18039,1611.0,220908,6737651,2050130,82688.0,9.778812572759023,315.1920838183935,234.9243306169965,85.91385331781142,118282.36321303842,4719.266589057043,1050.0,93.77182770663562,119332.36321303842,4813.0384167636785,12858.440046565775,0.803923,1.304383
43,大分県,1107000,3370,2317,128,960,733270,27994,4074,306.0,170774,5208687,737344,28300.0,11.562782294489612,304.4263775971093,209.3044263775971,86.72086720867209,66239.3857271906,2528.8166214995485,368.02168021680217,27.64227642276423,66607.4074074074,2556.4588979223126,15426.73893405601,0.966874,1.017426
44,宮崎県,1052000,2879,2272,116,913,833931,35122,21009,1188.0,141084,4302811,854940,36310.0,11.02661596958175,273.66920152091257,215.9695817490494,86.787072243346,79271.00760456274,3338.5931558935363,1997.0532319391634,112.9277566539924,81268.0608365019,3451.520912547529,13411.026615969582,0.898093,1.170972
45,鹿児島県,1563000,4653,3266,197,1380,2023328,77564,59828,3324.0,229048,6985745,2083156,80888.0,12.603966730646192,297.6967370441459,208.9571337172105,88.29174664107485,129451.56749840052,4962.507997440819,3827.7671145233526,212.6679462571977,133279.33461292388,5175.175943698016,14654.382597568778,0.914041,1.11468
46,沖縄県,1468000,3887,2432,77,912,1183292,43980,4552,207.0,160846,4906095,1187844,44187.0,5.245231607629428,264.7820163487738,165.6675749318801,62.125340599455036,80605.72207084468,2995.9128065395093,310.0817438692098,14.100817438692097,80915.80381471389,3010.013623978202,10956.811989100817,1.0,1.0
